"activity" "subject" "measurement" "mean" "sd"
"LAYING" 25 "tBodyAcc-mean()-X" 0.281587895671642 0.0707864715020017
"LAYING" 25 "tBodyAcc-mean()-Y" -0.0232940871262687 0.0306876910262942
"LAYING" 25 "tBodyAcc-mean()-Z" -0.111342868820896 0.0526251749811082
"LAYING" 25 "tBodyAcc-std()-X" -0.35449578219403 0.146755374658289
"LAYING" 25 "tBodyAcc-std()-Y" -0.122076968631343 0.102075147866534
"LAYING" 25 "tBodyAcc-std()-Z" -0.358563807910448 0.123767056616832
"LAYING" 25 "tBodyAcc-mad()-X" -0.398533630850746 0.149913445871827
"LAYING" 25 "tBodyAcc-mad()-Y" -0.151210218074627 0.0894702954907153
"LAYING" 25 "tBodyAcc-mad()-Z" -0.322685925462687 0.141347585193889
"LAYING" 25 "tBodyAcc-max()-X" -0.148946972114925 0.214788748186327
"LAYING" 25 "tBodyAcc-max()-Y" -0.0999457190955224 0.0871629459678358
"LAYING" 25 "tBodyAcc-max()-Z" -0.413094535671642 0.0622349515638106
"LAYING" 25 "tBodyAcc-min()-X" 0.312394758626866 0.125483729396714
"LAYING" 25 "tBodyAcc-min()-Y" 0.171764535729851 0.141125835244769
"LAYING" 25 "tBodyAcc-min()-Z" 0.507790964328358 0.0686528565413809
"LAYING" 25 "tBodyAcc-sma()" -0.235474787462687 0.0853713445004933
"LAYING" 25 "tBodyAcc-energy()-X" -0.778796931044776 0.0968088111399172
"LAYING" 25 "tBodyAcc-energy()-Y" -0.846803978507463 0.0345204662469503
"LAYING" 25 "tBodyAcc-energy()-Z" -0.80168058641791 0.0748184205616879
"LAYING" 25 "tBodyAcc-iqr()-X" -0.48801880519403 0.170806646861124
"LAYING" 25 "tBodyAcc-iqr()-Y" -0.371157958955224 0.0819313557092897
"LAYING" 25 "tBodyAcc-iqr()-Z" -0.278158096328358 0.190521213956787
"LAYING" 25 "tBodyAcc-entropy()-X" 0.350236839850746 0.11332222719668
"LAYING" 25 "tBodyAcc-entropy()-Y" 0.253706633044776 0.123880655034048
"LAYING" 25 "tBodyAcc-entropy()-Z" 0.106946254402985 0.116352262427021
"LAYING" 25 "tBodyAcc-arCoeff()-X" -0.433586893744776 0.175119760331644
"LAYING" 25 "tBodyAcc-arCoeff()-Y" -0.322550057652239 0.144134723604348
"LAYING" 25 "tBodyAcc-arCoeff()-Z" -0.363372359910448 0.191117858325592
"LAYING" 25 "tBodyAcc-correlation()-X" -0.290141662955224 0.202859102781795
"LAYING" 25 "tBodyAcc-correlation()-Y" -0.201214676243284 0.133243915635421
"LAYING" 25 "tGravityAcc-mean()-X" 0.95220845 0.0148740608262861
"LAYING" 25 "tGravityAcc-mean()-Y" -0.16165490480597 0.0757923599701932
"LAYING" 25 "tGravityAcc-mean()-Z" 0.0466790853059701 0.060846769363446
"LAYING" 25 "tGravityAcc-std()-X" -0.967471422238806 0.0147212310161338
"LAYING" 25 "tGravityAcc-std()-Y" -0.944533584477612 0.0422285385417125
"LAYING" 25 "tGravityAcc-std()-Z" -0.912598794925373 0.0568823921644449
"LAYING" 25 "tGravityAcc-mad()-X" -0.969062318208955 0.0149144999532413
"LAYING" 25 "tGravityAcc-mad()-Y" -0.946625555671642 0.0434182275615732
"LAYING" 25 "tGravityAcc-mad()-Z" -0.91594395238806 0.0547301638835528
"LAYING" 25 "tGravityAcc-max()-X" 0.890094957014925 0.0156216858453352
"LAYING" 25 "tGravityAcc-max()-Y" -0.168335779044776 0.0748896137243471
"LAYING" 25 "tGravityAcc-max()-Z" 0.0578692498253731 0.0577881304515587
"LAYING" 25 "tGravityAcc-min()-X" 0.959621325820896 0.0168211713405273
"LAYING" 25 "tGravityAcc-min()-Y" -0.150127209686567 0.0729927321054953
"LAYING" 25 "tGravityAcc-min()-Z" 0.0256146338358209 0.0648031389149622
"LAYING" 25 "tGravityAcc-sma()" -0.460296284328358 0.0997851599168428
"LAYING" 25 "tGravityAcc-energy()-X" 0.870277679253731 0.0389245673150356
"LAYING" 25 "tGravityAcc-energy()-Y" -0.948983015373134 0.0430071855392365
"LAYING" 25 "tGravityAcc-energy()-Z" -0.988971750597015 0.00902794286653084
"LAYING" 25 "tGravityAcc-iqr()-X" -0.973456506119403 0.0154953123265668
"LAYING" 25 "tGravityAcc-iqr()-Y" -0.951680249253731 0.044866333327199
"LAYING" 25 "tGravityAcc-iqr()-Z" -0.925339577164179 0.048332247898053
"LAYING" 25 "tGravityAcc-entropy()-X" -0.776618391641791 0.264016020196386
"LAYING" 25 "tGravityAcc-entropy()-Y" -1 0
"LAYING" 25 "tGravityAcc-entropy()-Z" -0.438206917208955 0.427590244706923
"LAYING" 25 "tGravityAcc-arCoeff()-X" -0.707632818208955 0.0893731756208979
"LAYING" 25 "tGravityAcc-arCoeff()-Y" -0.49875201761194 0.153510449405686
"LAYING" 25 "tGravityAcc-arCoeff()-Z" -0.554700874328358 0.18778151357454
"LAYING" 25 "tGravityAcc-correlation()-X" 0.475660585559701 0.423462692026541
"LAYING" 25 "tGravityAcc-correlation()-Y" -0.145933941820896 0.54101243917048
"LAYING" 25 "tBodyAccJerk-mean()-X" 0.104281423896716 0.198807646633163
"LAYING" 25 "tBodyAccJerk-mean()-Y" -0.00154458795223881 0.185257976861364
"LAYING" 25 "tBodyAccJerk-mean()-Z" -0.015790759761791 0.173083630874707
"LAYING" 25 "tBodyAccJerk-std()-X" -0.550905335373134 0.0979123367227353
"LAYING" 25 "tBodyAccJerk-std()-Y" -0.439023398955224 0.134949391020524
"LAYING" 25 "tBodyAccJerk-std()-Z" -0.730473943880597 0.0587280429080344
"LAYING" 25 "tBodyAccJerk-mad()-X" -0.54192775641791 0.101873432710935
"LAYING" 25 "tBodyAccJerk-mad()-Y" -0.406698475671642 0.133469011623591
"LAYING" 25 "tBodyAccJerk-mad()-Z" -0.722688397164179 0.0574548889693579
"LAYING" 25 "tBodyAccJerk-max()-X" -0.576631569850746 0.145931384964089
"LAYING" 25 "tBodyAccJerk-max()-Y" -0.659644099850746 0.134360262749052
"LAYING" 25 "tBodyAccJerk-max()-Z" -0.771904430149254 0.0739176875571026
"LAYING" 25 "tBodyAccJerk-min()-X" 0.547209727462687 0.108177181103133
"LAYING" 25 "tBodyAccJerk-min()-Y" 0.593461229402985 0.074435346179462
"LAYING" 25 "tBodyAccJerk-min()-Z" 0.72409658880597 0.0645367172442369
"LAYING" 25 "tBodyAccJerk-sma()" -0.541753431492537 0.0886453600660877
"LAYING" 25 "tBodyAccJerk-energy()-X" -0.89215625119403 0.0478170636922823
"LAYING" 25 "tBodyAccJerk-energy()-Y" -0.829772771492537 0.0772018050310355
"LAYING" 25 "tBodyAccJerk-energy()-Z" -0.958515673432836 0.0174484784465767
"LAYING" 25 "tBodyAccJerk-iqr()-X" -0.513270464626866 0.125906416405648
"LAYING" 25 "tBodyAccJerk-iqr()-Y" -0.490044407014925 0.104764302343747
"LAYING" 25 "tBodyAccJerk-iqr()-Z" -0.733144874925373 0.0531166787980352
"LAYING" 25 "tBodyAccJerk-entropy()-X" 0.487337580447761 0.0847853974419346
"LAYING" 25 "tBodyAccJerk-entropy()-Y" 0.465300197761194 0.0702478005070733
"LAYING" 25 "tBodyAccJerk-entropy()-Z" 0.281086636328358 0.0889904309496008
"LAYING" 25 "tBodyAccJerk-arCoeff()-X" -0.411788604967164 0.178005472008983
"LAYING" 25 "tBodyAccJerk-arCoeff()-Y" -0.38641717619403 0.158394854089771
"LAYING" 25 "tBodyAccJerk-arCoeff()-Z" -0.334639920940298 0.190246175780416
"LAYING" 25 "tBodyAccJerk-correlation()-X" -0.246397432028358 0.198454402125504
"LAYING" 25 "tBodyAccJerk-correlation()-Y" -0.0282476891641791 0.211150730287069
"LAYING" 25 "tBodyGyro-mean()-X" 0.0446095071791045 0.286981721241487
"LAYING" 25 "tBodyGyro-mean()-Y" -0.114724830571343 0.154373339306789
"LAYING" 25 "tBodyGyro-mean()-Z" 0.0844635376626866 0.0744284539485733
"LAYING" 25 "tBodyGyro-std()-X" -0.352327987776119 0.20310633758064
"LAYING" 25 "tBodyGyro-std()-Y" -0.447250805820896 0.096791497115172
"LAYING" 25 "tBodyGyro-std()-Z" -0.495293246716418 0.0604407700061163
"LAYING" 25 "tBodyGyro-mad()-X" -0.359995416 0.208430605517079
"LAYING" 25 "tBodyGyro-mad()-Y" -0.442871020597015 0.104577330216446
"LAYING" 25 "tBodyGyro-mad()-Z" -0.513982239850746 0.0577135148303569
"LAYING" 25 "tBodyGyro-max()-X" -0.29656572622 0.20699737840856
"LAYING" 25 "tBodyGyro-max()-Y" -0.63233083761194 0.0734263907132013
"LAYING" 25 "tBodyGyro-max()-Z" -0.34990379761194 0.0758719061046974
"LAYING" 25 "tBodyGyro-min()-X" 0.411000273731343 0.198686837103731
"LAYING" 25 "tBodyGyro-min()-Y" 0.667075267164179 0.0359477397788978
"LAYING" 25 "tBodyGyro-min()-Z" 0.434056515223881 0.10045498528894
"LAYING" 25 "tBodyGyro-sma()" -0.241501639638358 0.105960681232397
"LAYING" 25 "tBodyGyro-energy()-X" -0.73480694358209 0.123920057944311
"LAYING" 25 "tBodyGyro-energy()-Y" -0.839896184776119 0.054084918972959
"LAYING" 25 "tBodyGyro-energy()-Z" -0.87744244641791 0.0289694119538398
"LAYING" 25 "tBodyGyro-iqr()-X" -0.35793087341791 0.236503501862744
"LAYING" 25 "tBodyGyro-iqr()-Y" -0.431262947164179 0.140513073640695
"LAYING" 25 "tBodyGyro-iqr()-Z" -0.592222100895522 0.0546550228062664
"LAYING" 25 "tBodyGyro-entropy()-X" 0.111796073791045 0.451562619361523
"LAYING" 25 "tBodyGyro-entropy()-Y" 0.135466707132836 0.142073877505337
"LAYING" 25 "tBodyGyro-entropy()-Z" 0.226079072946269 0.126679688856579
"LAYING" 25 "tBodyGyro-arCoeff()-X" -0.634222520597015 0.134290750381403
"LAYING" 25 "tBodyGyro-arCoeff()-Y" -0.412128430298507 0.124411564023845
"LAYING" 25 "tBodyGyro-arCoeff()-Z" -0.450295833432836 0.101572415583642
"LAYING" 25 "tBodyGyro-correlation()-X" -0.519866373880597 0.146145255057504
"LAYING" 25 "tBodyGyro-correlation()-Y" 0.294889211477612 0.335518941758294
"LAYING" 25 "tBodyGyroJerk-mean()-X" -0.114935814892537 0.207408793682666
"LAYING" 25 "tBodyGyroJerk-mean()-Y" -0.0380204553547761 0.135007632137212
"LAYING" 25 "tBodyGyroJerk-mean()-Z" -0.0541320693262687 0.122898785153783
"LAYING" 25 "tBodyGyroJerk-std()-X" -0.508540971940298 0.152817999684032
"LAYING" 25 "tBodyGyroJerk-std()-Y" -0.794738742238806 0.0341750051767282
"LAYING" 25 "tBodyGyroJerk-std()-Z" -0.642143695522388 0.0819346219233058
"LAYING" 25 "tBodyGyroJerk-mad()-X" -0.517472195820896 0.128371214052671
"LAYING" 25 "tBodyGyroJerk-mad()-Y" -0.80236557119403 0.0309052675992709
"LAYING" 25 "tBodyGyroJerk-mad()-Z" -0.639974987014925 0.0715618904398356
"LAYING" 25 "tBodyGyroJerk-max()-X" -0.463172046447761 0.231360059124641
"LAYING" 25 "tBodyGyroJerk-max()-Y" -0.824165616716418 0.0577857216810678
"LAYING" 25 "tBodyGyroJerk-max()-Z" -0.655559237462687 0.14454052801221
"LAYING" 25 "tBodyGyroJerk-min()-X" 0.574761036268657 0.186291227094701
"LAYING" 25 "tBodyGyroJerk-min()-Y" 0.827044126268657 0.0485582581317506
"LAYING" 25 "tBodyGyroJerk-min()-Z" 0.75200438358209 0.0831261503829087
"LAYING" 25 "tBodyGyroJerk-sma()" -0.687228713880597 0.0575658579108795
"LAYING" 25 "tBodyGyroJerk-energy()-X" -0.866070571641791 0.079915426685215
"LAYING" 25 "tBodyGyroJerk-energy()-Y" -0.977885203283582 0.00779877897379696
"LAYING" 25 "tBodyGyroJerk-energy()-Z" -0.930953954776119 0.0324496345959765
"LAYING" 25 "tBodyGyroJerk-iqr()-X" -0.535665201044776 0.110023154918621
"LAYING" 25 "tBodyGyroJerk-iqr()-Y" -0.810262035522388 0.0362928395666523
"LAYING" 25 "tBodyGyroJerk-iqr()-Z" -0.653483196119403 0.067774629984919
"LAYING" 25 "tBodyGyroJerk-entropy()-X" 0.509392138358209 0.105606813783846
"LAYING" 25 "tBodyGyroJerk-entropy()-Y" 0.502420304477612 0.104035399625506
"LAYING" 25 "tBodyGyroJerk-entropy()-Z" 0.528933759850746 0.0894870306265291
"LAYING" 25 "tBodyGyroJerk-arCoeff()-X" -0.414457542447761 0.130497262292754
"LAYING" 25 "tBodyGyroJerk-arCoeff()-Y" -0.343868268925373 0.137248846248144
"LAYING" 25 "tBodyGyroJerk-arCoeff()-Z" -0.366287219179105 0.129671526298328
"LAYING" 25 "tBodyGyroJerk-correlation()-X" 0.133999507962687 0.223129488597794
"LAYING" 25 "tBodyGyroJerk-correlation()-Y" -0.0882440081940298 0.141005974373267
"LAYING" 25 "tBodyAccMag-mean()" -0.242882056238806 0.0851281126995929
"LAYING" 25 "tBodyAccMag-std()" -0.355656243895522 0.151431444237313
"LAYING" 25 "tBodyAccMag-mad()" -0.453852003731343 0.131566233215115
"LAYING" 25 "tBodyAccMag-max()" -0.279527834119403 0.164620795882122
"LAYING" 25 "tBodyAccMag-min()" -0.774521578955224 0.107589212624073
"LAYING" 25 "tBodyAccMag-sma()" -0.242882056238806 0.0851281126995929
"LAYING" 25 "tBodyAccMag-energy()" -0.697966062985075 0.0751242073749351
"LAYING" 25 "tBodyAccMag-iqr()" -0.562720582238806 0.128048869625163
"LAYING" 25 "tBodyAccMag-entropy()" 0.760547089850746 0.0709074282308075
"LAYING" 25 "tBodyAccMag-arCoeff()1" -0.473147159850746 0.164542329290305
"LAYING" 25 "tBodyAccMag-arCoeff()2" 0.343783595597015 0.197513896194284
"LAYING" 25 "tBodyAccMag-arCoeff()3" -0.165494990458209 0.280986924701592
"LAYING" 25 "tBodyAccMag-arCoeff()4" 0.135678088646269 0.190760144703743
"LAYING" 25 "tGravityAccMag-mean()" -0.242882056238806 0.0851281126995929
"LAYING" 25 "tGravityAccMag-std()" -0.355656243895522 0.151431444237313
"LAYING" 25 "tGravityAccMag-mad()" -0.453852003731343 0.131566233215115
"LAYING" 25 "tGravityAccMag-max()" -0.279527834119403 0.164620795882122
"LAYING" 25 "tGravityAccMag-min()" -0.774521578955224 0.107589212624073
"LAYING" 25 "tGravityAccMag-sma()" -0.242882056238806 0.0851281126995929
"LAYING" 25 "tGravityAccMag-energy()" -0.697966062985075 0.0751242073749351
"LAYING" 25 "tGravityAccMag-iqr()" -0.562720582238806 0.128048869625163
"LAYING" 25 "tGravityAccMag-entropy()" 0.760547089850746 0.0709074282308075
"LAYING" 25 "tGravityAccMag-arCoeff()1" -0.473147159850746 0.164542329290305
"LAYING" 25 "tGravityAccMag-arCoeff()2" 0.343783595597015 0.197513896194284
"LAYING" 25 "tGravityAccMag-arCoeff()3" -0.165494990458209 0.280986924701592
"LAYING" 25 "tGravityAccMag-arCoeff()4" 0.135678088646269 0.190760144703743
"LAYING" 25 "tBodyAccJerkMag-mean()" -0.544945887313433 0.0894227584443507
"LAYING" 25 "tBodyAccJerkMag-std()" -0.543349355671642 0.100238804562667
"LAYING" 25 "tBodyAccJerkMag-mad()" -0.564033247462687 0.102997867576494
"LAYING" 25 "tBodyAccJerkMag-max()" -0.553454850149254 0.0987776822068052
"LAYING" 25 "tBodyAccJerkMag-min()" -0.706550092089552 0.112666368529773
"LAYING" 25 "tBodyAccJerkMag-sma()" -0.544945887313433 0.0894227584443507
"LAYING" 25 "tBodyAccJerkMag-energy()" -0.884832775671642 0.0438562799967816
"LAYING" 25 "tBodyAccJerkMag-iqr()" -0.619814269402985 0.108749097998113
"LAYING" 25 "tBodyAccJerkMag-entropy()" 0.533969991791045 0.0976869947447299
"LAYING" 25 "tBodyAccJerkMag-arCoeff()1" -0.110794940477612 0.208500639798953
"LAYING" 25 "tBodyAccJerkMag-arCoeff()2" 0.186348815074627 0.215595357977243
"LAYING" 25 "tBodyAccJerkMag-arCoeff()3" -0.173525495495522 0.218319639502334
"LAYING" 25 "tBodyAccJerkMag-arCoeff()4" 0.00422848874477612 0.211035031325315
"LAYING" 25 "tBodyGyroMag-mean()" -0.234817039132836 0.121689209560319
"LAYING" 25 "tBodyGyroMag-std()" -0.349989404771642 0.137689737314474
"LAYING" 25 "tBodyGyroMag-mad()" -0.271819024832315 0.160063600799594
"LAYING" 25 "tBodyGyroMag-max()" -0.451536194029851 0.103682167569684
"LAYING" 25 "tBodyGyroMag-min()" -0.516999345373134 0.268931036851264
"LAYING" 25 "tBodyGyroMag-sma()" -0.234817039132836 0.121689209560319
"LAYING" 25 "tBodyGyroMag-energy()" -0.686801875223881 0.0979922766538871
"LAYING" 25 "tBodyGyroMag-iqr()" -0.296632995093284 0.182574669390703
"LAYING" 25 "tBodyGyroMag-entropy()" 0.604553014925373 0.201925847678441
"LAYING" 25 "tBodyGyroMag-arCoeff()1" -0.30396548 0.223885970213113
"LAYING" 25 "tBodyGyroMag-arCoeff()2" 0.187019507829851 0.24230417739197
"LAYING" 25 "tBodyGyroMag-arCoeff()3" -0.0513965614059702 0.249880689376215
"LAYING" 25 "tBodyGyroMag-arCoeff()4" 0.0436239836091045 0.214786966810345
"LAYING" 25 "tBodyGyroJerkMag-mean()" -0.682856995671642 0.0594600763960892
"LAYING" 25 "tBodyGyroJerkMag-std()" -0.722952022835821 0.0878620911816031
"LAYING" 25 "tBodyGyroJerkMag-mad()" -0.744005158059701 0.071785754475856
"LAYING" 25 "tBodyGyroJerkMag-max()" -0.73168735238806 0.0916640857801652
"LAYING" 25 "tBodyGyroJerkMag-min()" -0.723594009104478 0.106010866041517
"LAYING" 25 "tBodyGyroJerkMag-sma()" -0.682856995671642 0.0594600763960892
"LAYING" 25 "tBodyGyroJerkMag-energy()" -0.948214014477612 0.0219727138095888
"LAYING" 25 "tBodyGyroJerkMag-iqr()" -0.766745495522388 0.0494607109057144
"LAYING" 25 "tBodyGyroJerkMag-entropy()" 0.752570167761194 0.0611712140029819
"LAYING" 25 "tBodyGyroJerkMag-arCoeff()1" -0.0709450268626866 0.197816953387616
"LAYING" 25 "tBodyGyroJerkMag-arCoeff()2" 0.0561471217761194 0.200967002479908
"LAYING" 25 "tBodyGyroJerkMag-arCoeff()3" 0.0788257356014925 0.213545676049736
"LAYING" 25 "tBodyGyroJerkMag-arCoeff()4" -0.290034374579104 0.176626995823477
"LAYING" 25 "fBodyAcc-mean()-X" -0.436034489253731 0.112861430793143
"LAYING" 25 "fBodyAcc-mean()-Y" -0.227198247731343 0.116715883159469
"LAYING" 25 "fBodyAcc-mean()-Z" -0.536272947910448 0.0566748404423943
"LAYING" 25 "fBodyAcc-std()-X" -0.326181856286567 0.163559876800686
"LAYING" 25 "fBodyAcc-std()-Y" -0.126670021822388 0.0995414915929593
"LAYING" 25 "fBodyAcc-std()-Z" -0.32338945780597 0.152079057756102
"LAYING" 25 "fBodyAcc-mad()-X" -0.360595861313433 0.135802888322203
"LAYING" 25 "fBodyAcc-mad()-Y" -0.120513537559851 0.124665519256122
"LAYING" 25 "fBodyAcc-mad()-Z" -0.441005041492537 0.0824143141488947
"LAYING" 25 "fBodyAcc-max()-X" -0.376304941170746 0.193755762850678
"LAYING" 25 "fBodyAcc-max()-Y" -0.420214078059702 0.0966523693472365
"LAYING" 25 "fBodyAcc-max()-Z" -0.241816800665672 0.210169673325179
"LAYING" 25 "fBodyAcc-min()-X" -0.787056906865672 0.162872366215868
"LAYING" 25 "fBodyAcc-min()-Y" -0.814313278358209 0.136805774693338
"LAYING" 25 "fBodyAcc-min()-Z" -0.893377532835821 0.0917449724181246
"LAYING" 25 "fBodyAcc-sma()" -0.321106784925373 0.0787925247482146
"LAYING" 25 "fBodyAcc-energy()-X" -0.779221703283582 0.0968625554328796
"LAYING" 25 "fBodyAcc-energy()-Y" -0.604586000298508 0.0907651664852965
"LAYING" 25 "fBodyAcc-energy()-Z" -0.779644098955224 0.0813071403723406
"LAYING" 25 "fBodyAcc-iqr()-X" -0.554693565671642 0.119437321832931
"LAYING" 25 "fBodyAcc-iqr()-Y" -0.525530401164179 0.153571041589279
"LAYING" 25 "fBodyAcc-iqr()-Z" -0.701634699402985 0.0869623751411463
"LAYING" 25 "fBodyAcc-entropy()-X" 0.36967042641791 0.103084852635261
"LAYING" 25 "fBodyAcc-entropy()-Y" 0.352292323880597 0.102445917463291
"LAYING" 25 "fBodyAcc-entropy()-Z" 0.203399072776119 0.0876839675634972
"LAYING" 25 "fBodyAcc-maxInds-X" -0.818006737761194 0.0249247555121376
"LAYING" 25 "fBodyAcc-maxInds-Y" -0.807960198507463 0.13707988104432
"LAYING" 25 "fBodyAcc-maxInds-Z" -0.92307692 0
"LAYING" 25 "fBodyAcc-meanFreq()-X" -0.497235523358209 0.185563766232533
"LAYING" 25 "fBodyAcc-meanFreq()-Y" -0.253491712955224 0.141217159377231
"LAYING" 25 "fBodyAcc-meanFreq()-Z" -0.260071893656716 0.240226734611071
"LAYING" 25 "fBodyAcc-skewness()-X" 0.159652063319403 0.226985456570907
"LAYING" 25 "fBodyAcc-kurtosis()-X" -0.18502564430597 0.313560501273563
"LAYING" 25 "fBodyAcc-skewness()-Y" -0.342778494776119 0.137438528832032
"LAYING" 25 "fBodyAcc-kurtosis()-Y" -0.725972145522388 0.121920214072884
"LAYING" 25 "fBodyAcc-skewness()-Z" 0.127307737890299 0.266071891519375
"LAYING" 25 "fBodyAcc-kurtosis()-Z" -0.114722321801343 0.317069324699298
"LAYING" 25 "fBodyAcc-bandsEnergy()-1" -0.7284956 0.123298907525193
"LAYING" 25 "fBodyAcc-bandsEnergy()-9" -0.935836671791045 0.0384524266390371
"LAYING" 25 "fBodyAcc-bandsEnergy()-17" -0.911921959104478 0.0440832649603764
"LAYING" 25 "fBodyAcc-bandsEnergy()-25" -0.928665640149254 0.0494592761413572
"LAYING" 25 "fBodyAcc-bandsEnergy()-33" -0.926961194328358 0.0381591405488824
"LAYING" 25 "fBodyAcc-bandsEnergy()-41" -0.924135058059702 0.0487156922654143
"LAYING" 25 "fBodyAcc-bandsEnergy()-49" -0.947767375373134 0.037889424237243
"LAYING" 25 "fBodyAcc-bandsEnergy()-57" -0.943275330149254 0.0653851098484275
